ID,Algoritmo,WaitingTime,Preempcoes,Turnaround
1,FCFS,12,0,44
1,RR,56,56,100
1,RR Dinâmico,70,32,114
1,FCFS,6,0,79
1,RR,43,43,79
1,RR Dinâmico,108,59,144
1,FCFS,36,0,126
1,RR,68,68,116
1,RR Dinâmico,8,10,56
1,FCFS,2,0,137
1,RR,45,45,57
1,RR Dinâmico,55,22,67
1,FCFS,8,0,168
1,RR,68,68,100
1,RR Dinâmico,136,84,168
2,FCFS,6,0,51
2,RR,172,172,223
2,RR Dinâmico,105,55,156
2,FCFS,24,0,86
2,RR,143,143,179
2,RR Dinâmico,4,5,40
2,FCFS,10,0,135
2,RR,156,156,206
2,RR Dinâmico,149,95,199
2,FCFS,8,0,162
2,RR,67,67,95
2,RR Dinâmico,193,130,221
2,FCFS,8,0,174
2,RR,19,19,32
2,RR Dinâmico,47,27,60
2,FCFS,15,0,206
2,RR,115,115,148
2,RR Dinâmico,214,145,247
2,FCFS,6,0,283
2,RR,180,180,258
2,RR Dinâmico,241,153,319
2,FCFS,18,0,308
2,RR,77,77,103
2,RR Dinâmico,67,37,93
2,FCFS,9,0,343
2,RR,128,128,164
2,RR Dinâmico,312,220,348
2,FCFS,10,0,366
2,RR,93,93,117
2,RR Dinâmico,342,239,366
3,FCFS,15,0,35
3,RR,260,260,295
3,RR Dinâmico,0,0,35
3,FCFS,8,0,82
3,RR,220,220,268
3,RR Dinâmico,143,98,191
3,FCFS,2,0,87
3,RR,113,113,119
3,RR Dinâmico,38,25,44
3,FCFS,12,0,122
3,RR,157,157,193
3,RR Dinâmico,184,133,220
3,FCFS,12,0,151
3,RR,287,287,317
3,RR Dinâmico,47,34,77
3,FCFS,15,0,186
3,RR,165,165,201
3,RR Dinâmico,213,148,249
3,FCFS,8,0,229
3,RR,231,231,275
3,RR Dinâmico,243,164,287
3,FCFS,12,0,252
3,RR,123,123,147
3,RR Dinâmico,281,195,305
3,FCFS,4,0,279
3,RR,247,247,275
3,RR Dinâmico,299,202,327
3,FCFS,9,0,326
3,RR,267,267,315
3,RR Dinâmico,321,221,369
3,FCFS,7,0,333
3,RR,52,52,60
3,RR Dinâmico,96,73,104
3,FCFS,12,0,377
3,RR,269,269,314
3,RR Dinâmico,362,255,407
3,FCFS,10,0,396
3,RR,133,133,153
3,RR Dinâmico,107,75,127
3,FCFS,6,0,429
3,RR,244,244,278
3,RR Dinâmico,400,279,434
3,FCFS,4,0,447
3,RR,141,141,160
3,RR Dinâmico,428,302,447
4,FCFS,6,0,24
4,RR,219,219,243
4,RR Dinâmico,166,111,190
4,FCFS,2,0,43
4,RR,135,135,155
4,RR Dinâmico,184,124,204
4,FCFS,15,0,69
4,RR,218,218,245
4,RR Dinâmico,8,10,35
4,FCFS,6,0,90
4,RR,143,143,165
4,RR Dinâmico,197,137,219
4,FCFS,6,0,116
4,RR,223,223,250
4,RR Dinâmico,213,148,240
4,FCFS,8,0,147
4,RR,287,287,319
4,RR Dinâmico,234,164,266
4,FCFS,7,0,154
4,RR,31,31,39
4,RR Dinâmico,46,32,54
4,FCFS,8,0,181
4,RR,294,294,322
4,RR Dinâmico,53,33,81
4,FCFS,3,0,192
4,RR,252,252,264
4,RR Dinâmico,80,53,92
4,FCFS,4,0,215
4,RR,162,162,186
4,RR Dinâmico,257,178,281
4,FCFS,6,0,232
4,RR,173,173,191
4,RR Dinâmico,275,193,293
4,FCFS,2,0,255
4,RR,295,295,319
4,RR Dinâmico,287,195,311
4,FCFS,12,0,270
4,RR,176,176,192
4,RR Dinâmico,103,72,119
4,FCFS,9,0,317
4,RR,313,313,361
4,RR Dinâmico,304,212,352
4,FCFS,4,0,348
4,RR,291,291,323
4,RR Dinâmico,346,246,378
4,FCFS,10,0,357
4,RR,186,186,196
4,RR Dinâmico,126,82,136
4,FCFS,4,0,375
4,RR,181,181,200
4,RR Dinâmico,371,265,390
4,FCFS,4,0,410
4,RR,290,290,326
4,RR Dinâmico,404,295,440
4,FCFS,1,0,427
4,RR,193,193,211
4,RR Dinâmico,424,312,442
4,FCFS,9,0,489
4,RR,300,300,363
4,RR Dinâmico,426,314,489
